Rok,Značka,Model,Motorizácia,Spotreba
2025,Buick,ENCORE GX FWD,1.2,7.8
2025,Buick,ENCORE GX FWD,1.3,7.8
2025,Buick,ENCLAVE AWD,2.5,11.2
2025,Buick,ENCORE GX AWD,1.3,8.7
2025,Buick,ENVISION AWD,2.0,9.8
2025,Cadillac,CT5,2.0,9.0
2025,Cadillac,CT4 V,2.7,10.2
2025,Cadillac,CT4 V,3.6,12.4
2025,Cadillac,CT5,3.0,10.7
2025,Cadillac,CT5 V,6.2,15.7
2025,Cadillac,CT5 AWD,3.0,11.2
2025,Cadillac,CT5 V,3.0,11.2
2025,Cadillac,XT6 AWD,2.0,10.2
2025,Cadillac,CT4 V,3.6,13.1
2025,Cadillac,CT5 V AWD,3.0,11.8
2025,Cadillac,XT4 FWD,2.0,9.0
2025,Cadillac,CT4 AWD,2.7,9.8
2025,Cadillac,CT4 AWD,2.0,9.4
2025,Cadillac,CT4,2.7,9.4
2025,Cadillac,CT4,2.0,9.0
2025,Cadillac,CT5 AWD,2.0,9.4
2025,Cadillac,CT4 V AWD,2.7,10.2
2025,Cadillac,XT6 AWD,3.6,11.8
2025,Cadillac,XT5 AWD,2.0,10.2
2025,Cadillac,ESCALADE 2WD,6.2,13.8
2025,Cadillac,XT5 AWD,3.6,11.2
2025,Cadillac,XT6 FWD,3.6,11.2
2025,Cadillac,XT6 FWD,2.0,10.2
2025,Cadillac,XT5 FWD,3.6,11.2
2025,Cadillac,XT5 FWD,2.0,9.8
2025,Cadillac,CT5 V,6.2,15.7
2025,Cadillac,ESCALADE 4WD,6.2,14.7
2025,Cadillac,ESCALADE V AWD,6.2,18.1
2025,Cadillac,XT4 AWD,2.0,9.4
2025,Chevrolet,SILVERADO 4WD,2.7,13.1
2025,Chevrolet,SILVERADO 4WD,2.7,13.1
2025,Chevrolet,SILVERADO 2WD,5.3,13.1
2025,Chevrolet,SILVERADO 2WD,5.3,13.1
2025,Chevrolet,SILVERADO 2WD,3.0,9.0
2025,Chevrolet,SILVERADO 2WD,2.7,12.4
2025,Chevrolet,SILVERADO 2WD,2.7,12.4
2025,Chevrolet,TAHOE 4WD,5.3,13.8
2025,Chevrolet,TAHOE 4WD,6.2,14.7
2025,Chevrolet,TRAX,1.2,7.8
2025,Chevrolet,TRAX,1.2,8.1
2025,Chevrolet,TRAILBLAZER FWD,1.3,7.6
2025,Chevrolet,SUBURBAN 2WD,5.3,13.8
2025,Chevrolet,TRAVERSE AWD,2.5,11.2
2025,Chevrolet,TRAILBLAZER AWD,1.3,8.7
2025,Chevrolet,EQUINOX AWD,1.5,9.0
2025,Chevrolet,BLAZER AWD,3.6,11.2
2025,Chevrolet,TRAVERSE FWD,2.5,10.2
2025,Chevrolet,TAHOE 2WD,6.2,13.8
2025,Chevrolet,BLAZER AWD,2.0,9.8
2025,Chevrolet,SILVERADO 4WD,3.0,9.8
2025,Chevrolet,SILVERADO 4WD,3.0,10.2
2025,Chevrolet,SILVERADO 4WD,5.3,13.8
2025,Chevrolet,SILVERADO 4WD,5.3,13.8
2025,Chevrolet,SUBURBAN 4WD,5.3,14.7
2025,Chevrolet,BLAZER FWD,2.0,9.4
2025,Chevrolet,BLAZER FWD,3.6,10.7
2025,Chevrolet,EQUINOX FWD,1.5,8.7
2025,Chevrolet,TRAILBLAZER FWD,1.2,7.8
2025,Chevrolet,SUBURBAN 4WD,6.2,14.7
2025,Chevrolet,SILVERADO 4WD CAB CHASSIS,5.3,15.7
2025,Chevrolet,SILVERADO 2WD CAB CHASSIS,5.3,14.7
2025,Chevrolet,SILVERADO 4WD ZR2,6.2,15.7
2025,Chevrolet,SILVERADO 4WD ZR2,3.0,11.2
2025,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,6.2,15.7
2025,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,5.3,13.8
2025,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,5.3,14.7
2025,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,5.3,14.7
2025,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,5.3,14.7
2025,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,3.0,10.7
2025,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,3.0,10.2
2025,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,2.7,14.7
2025,Chevrolet,TAHOE 2WD,5.3,13.8
2025,Chevrolet,SILVERADO 4WD,5.3,13.8
2025,Chevrolet,SILVERADO 4WD,5.3,14.7
2025,Chevrolet,SUBURBAN 2WD,6.2,14.7
2025,Chevrolet,SILVERADO 4WD MUD TERRAIN TIRES,2.7,14.7
2025,Chevrolet,SILVERADO 4WD,6.2,13.8
2025,Chevrolet,CORVETTE,6.2,12.4
2025,Chevrolet,CORVETTE E-RAY,6.2,12.4
2025,Chevrolet,CORVETTE Z06,5.5,16.8
2025,Chevrolet,CORVETTE Z06 CARBON AERO,5.5,16.8
2025,Chevrolet,MALIBU,1.5,7.6
2025,Chrysler,Pacifica AWD,3.6,11.8
2025,Chrysler,Pacifica,3.6,10.7
2025,Chrysler,Voyager,3.6,10.7
2025,Dodge,Durango AWD,5.7,13.8
2025,Dodge,Durango AWD,3.6,11.8
2025,Dodge,Hornet AWD,2.0,9.8
2025,Dodge,Durango SRT AWD,6.2,18.1
2025,Dodge,Durango RWD,5.7,13.8
2025,Dodge,Durango RWD,3.6,11.8
"2025,""Ferrari North America, Inc."",F167 ABA,6.5,16.8"
"2025,""Ferrari North America, Inc."",Purosangue,6.5,19.6"
"2025,""Ferrari North America, Inc."",Ferrari Daytona SP3,6.5,18.1"
"2025,""Ferrari North America, Inc."",Roma Spider,3.9,12.4"
2025,Ford,EXPLORER AWD,3.0,11.2
